RegNo,HerdCode,CancelReason,Jalali
3.64009E+14,,200,1401/09/06
3.64009E+14,,999,1402/07/12
3.64009E+14,,200,1400/09/10
3.64009E+14,,200,1401/09/28
3.64009E+14,,999,1402/05/05
3.64009E+14,,999,1401/04/10
3.64009E+14,,999,1399/08/25
3.64009E+14,,999,1403/01/30
3.64009E+14,,164,1401/05/23
3.64009E+14,,200,1400/11/25
3.64009E+14,,164,1400/12/21
3.64009E+14,,999,1401/09/22
3.64009E+14,,999,1402/01/16
3.64009E+14,,999,1403/01/15
3.64009E+14,,999,1401/04/09
3.64009E+14,,999,1402/07/01
3.64009E+14,,999,1402/06/22
3.64009E+14,,180,1401/12/20
3.64009E+14,,999,1403/06/31
3.64009E+14,,187,1401/03/31
3.64009E+14,,999,1403/01/05
3.64009E+14,,999,1401/06/29
3.64009E+14,,999,1401/06/12
3.64009E+14,,999,1401/04/09
3.64009E+14,,999,1403/06/31
3.64009E+14,,200,1400/09/12
3.64009E+14,,200,1402/08/18
3.64009E+14,,180,1401/09/09
3.64009E+14,,999,1401/06/29
3.64009E+14,,999,1403/08/17
3.64009E+14,,999,1403/04/20
3.64009E+14,,999,1403/08/17
3.64009E+14,,999,1403/07/22
3.64009E+14,,999,1402/10/12
3.64009E+14,,999,1403/08/17
3.64009E+14,,999,1403/06/31
3.64009E+14,,999,1403/01/05
3.64009E+14,,999,1403/06/31
3.64009E+14,,999,1403/05/31
3.64009E+14,,180,1401/06/29
3.64009E+14,,999,1402/04/07
3.64009E+14,,999,1403/04/20
3.64009E+14,,999,1403/01/05
3.64009E+14,,200,1400/11/05
3.64009E+14,,200,1400/09/28
3.64009E+14,,999,1402/07/12
3.64009E+14,,186,1398/11/28
3.64009E+14,,117,1398/11/24
3.64009E+14,,999,1403/08/16
3.64009E+14,,999,1403/01/05
3.64009E+14,,999,1402/06/22
3.64009E+14,,999,1403/01/05
3.64009E+14,,999,1400/12/10
3.64009E+14,,999,1403/04/20
3.64009E+14,,999,1400/12/10
3.64009E+14,,999,1403/01/05
3.64009E+14,,200,1400/11/05
3.64009E+14,,999,1401/02/26
3.64009E+14,,200,1400/11/05
3.64009E+14,,200,1400/09/14
3.64009E+14,,179,1401/12/20
3.64009E+14,,180,1401/06/29
3.64009E+14,,999,1402/01/16
3.64009E+14,,999,1401/02/10
3.64009E+14,,999,1402/01/16
3.64009E+14,,999,1399/09/12
3.64009E+14,,179,1401/12/20
3.64009E+14,,999,1402/06/05
3.64009E+14,,999,1403/04/20
3.64009E+14,,180,1400/12/07
3.64009E+14,,,1399/02/03
3.64009E+14,,999,1402/12/20
3.64009E+14,,999,1402/01/16
3.64009E+14,,180,1400/12/07
3.64009E+14,,999,1402/04/02
3.64009E+14,,999,1399/06/01
3.64009E+14,,999,1403/01/20
3.64009E+14,,999,1403/04/20
3.64009E+14,,999,1401/06/29
3.64009E+14,,179,1401/12/20
3.64009E+14,,999,1402/07/12
3.64009E+14,,,1399/02/20
3.64009E+14,,200,1397/08/20
3.64009E+14,,200,1397/08/20
3.64009E+14,,999,1399/09/12
3.64009E+14,,999,1401/02/10
3.64009E+14,,179,1400/12/07
3.64009E+14,,999,1402/07/07
3.64009E+14,,999,1400/12/10
3.64009E+14,,999,1399/06/01
3.64009E+14,,999,1399/06/20
3.64009E+14,,999,1399/06/13
3.64009E+14,,999,1401/04/10
3.64009E+14,,999,1401/02/10
3.64009E+14,,200,1400/09/10
3.64009E+14,,999,1401/04/10
3.64009E+14,,999,1401/02/10
3.64009E+14,,200,1400/09/10
3.64009E+14,,999,1402/07/12
3.64009E+14,,180,1401/06/29
3.64009E+14,,180,1401/12/20
3.64009E+14,,180,1401/06/29
3.64009E+14,,180,1401/06/29
3.64009E+14,,171,1395/03/18
3.64009E+14,,171,1395/02/22
3.64009E+14,,156,1395/06/22
3.64009E+14,,171,1395/03/18
3.64009E+14,,171,1397/09/24
3.64009E+14,,171,1397/09/24
3.64009E+14,,200,1397/08/20
3.64009E+14,,200,1397/10/08
3.64009E+14,,171,1395/03/18
3.64009E+14,,200,1395/01/16
3.64009E+14,,200,1397/10/08
3.64009E+14,,156,1395/07/01
3.64009E+14,,200,1397/10/08
3.64009E+14,,200,1397/10/08
3.64009E+14,,171,1397/09/24
3.64009E+14,,171,1397/09/24
3.64009E+14,,200,1395/10/26
3.64009E+14,,200,1396/12/01
3.64009E+14,,200,1396/11/01
3.64009E+14,,200,1395/01/16
3.64009E+14,,156,1395/08/29
3.64009E+14,,171,1395/03/05
3.64009E+14,,171,1397/09/24
3.64009E+14,,171,1396/08/01
3.64009E+14,,171,1397/09/24
3.64009E+14,,200,1396/11/01
3.64009E+14,,171,1396/07/01
3.64009E+14,,171,1395/03/24
3.64009E+14,,171,1395/03/05
3.64009E+14,,156,1395/08/29
3.64009E+14,,171,1395/02/22
3.64009E+14,,156,1395/06/22
3.64009E+14,,200,1397/07/01
3.64051E+14,,999,1402/07/06
3.64099E+14,,999,1377/01/01
3.64099E+14,,999,1377/01/01
3.64099E+14,,999,1377/01/01
3.64099E+14,,999,1377/01/01
3.64099E+14,,999,1377/01/01
3.64099E+14,,999,1377/01/01
3.64099E+14,,999,1377/01/01
3.64099E+14,,999,1377/01/01
3.64099E+14,,117,1381/10/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,117,1379/06/06
3.64099E+14,,117,1379/06/06
3.64099E+14,,117,1380/02/04
3.64099E+14,,117,1379/06/06
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,117,1379/06/06
3.64099E+14,,117,1381/10/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,171,1377/10/20
3.64099E+14,,999,1389/01/01
3.64099E+14,,999,1389/01/01
3.64099E+14,,179,1386/01/20
3.64099E+14,,999,1380/08/01
3.64099E+14,,999,1389/01/01
3.64099E+14,,117,1380/02/04
3.64099E+14,,999,1381/06/30
3.64099E+14,,171,1378/03/15
3.64099E+14,,117,1380/02/04
3.64099E+14,,117,1380/02/04
3.64099E+14,,117,1382/04/08
3.64099E+14,,117,1380/02/04
3.64099E+14,,117,1380/02/04
3.64099E+14,,117,1382/02/05
3.64099E+14,,117,1380/02/04
3.64099E+14,,117,1381/06/06
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1378/04/01
3.64099E+14,,117,1382/10/05
3.64099E+14,,117,1381/10/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,117,1380/02/04
3.64099E+14,,999,1382/01/01
3.64099E+14,,117,1382/03/05
3.64099E+14,,999,1385/04/01
3.64099E+14,,171,1377/10/15
3.64099E+14,,117,1381/10/05
3.64099E+14,,158,1384/11/10
3.64099E+14,,117,1383/08/05
3.64099E+14,,117,1382/01/15
3.64099E+14,,117,1381/04/10
3.64099E+14,,156,1384/05/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,117,1382/04/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,117,1382/03/08
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1383/08/20
3.64099E+14,,158,1385/04/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,117,1382/04/05
3.64099E+14,,117,1383/07/15
3.64099E+14,,117,1381/05/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,117,1381/10/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,117,1380/06/08
3.64099E+14,,179,1384/02/30
3.64099E+14,,117,1381/10/05
3.64099E+14,,157,1384/05/06
3.64099E+14,,117,1382/04/05
3.64099E+14,,117,1381/10/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,117,1383/09/15
3.64099E+14,,117,1382/04/05
3.64099E+14,,179,1384/02/30
3.64099E+14,,157,1386/03/05
3.64099E+14,,156,1385/04/01
3.64099E+14,,999,1384/02/15
3.64099E+14,,177,1383/12/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,117,1383/08/15
3.64099E+14,,156,1385/04/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,178,1384/02/30
3.64099E+14,,158,1385/05/24
3.64099E+14,,157,1386/03/05
3.64099E+14,,117,1381/10/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1384/11/01
3.64099E+14,,156,1385/04/17
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1384/05/06
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1384/05/15
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,156,1385/04/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1384/11/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1384/11/10
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,117,1383/08/20
3.64099E+14,,156,1386/01/20
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1385/04/24
3.64099E+14,,156,1384/08/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,156,1386/01/20
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1384/01/06
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1384/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1384/10/15
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,156,1386/01/20
3.64099E+14,,157,1386/03/05
3.64099E+14,,117,1383/07/15
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,171,1384/03/30
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,179,1385/04/17
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1382/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1388/01/01
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1385/04/01
3.64099E+14,,171,1391/04/31
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1389/11/03
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,999,1389/11/03
3.64099E+14,,999,1388/06/30
3.64099E+14,,179,1387/12/01
3.64099E+14,,157,1384/01/30
3.64099E+14,,999,1390/01/26
3.64099E+14,,157,1386/03/05
3.64099E+14,,158,1390/07/25
3.64099E+14,,156,1392/12/28
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,157,1386/03/05
3.64099E+14,,179,1388/06/30
3.64099E+14,,156,1391/10/01
3.64099E+14,,156,1392/04/22
3.64099E+14,,180,1388/05/10
3.64099E+14,,171,1391/10/16
3.64099E+14,,178,1390/06/31
3.64099E+14,,156,1390/12/01
3.64099E+14,,158,1393/11/27
3.64099E+14,,200,1394/05/01
3.64099E+14,,171,1391/04/31
3.64099E+14,,179,1388/12/01
3.64099E+14,,120,1390/03/15
3.64099E+14,,179,1386/11/01
3.64099E+14,,999,1385/04/01
3.64099E+14,,999,1389/08/24
3.64099E+14,,156,1390/12/01
3.64099E+14,,186,1387/11/01
3.64099E+14,,158,1393/06/24
3.64099E+14,,178,1390/06/06
3.64099E+14,,158,1393/11/27
3.64099E+14,,158,1395/12/16
3.64099E+14,,180,1390/07/25
3.64099E+14,,157,1384/12/25
3.64099E+14,,999,1390/09/01
3.64099E+14,,132,1391/08/01
3.64099E+14,,171,1391/01/03
3.64099E+14,,179,1388/02/10
3.64099E+14,,156,1390/12/01
3.64099E+14,,999,1390/02/01
3.64099E+14,,158,1393/04/14
3.64099E+14,,157,1386/06/01
3.64099E+14,,171,1391/08/20
3.64099E+14,,171,1391/08/20
3.64099E+14,,158,1392/07/10
3.64099E+14,,187,1392/06/24
3.64099E+14,,180,1388/12/01
3.64099E+14,,158,1390/07/25
3.64099E+14,,119,1388/06/30
3.64099E+14,,179,1389/03/11
3.64099E+14,,157,1385/05/20
3.64099E+14,,157,1385/05/20
3.64099E+14,,180,1389/03/11
3.64099E+14,,178,1392/03/22
3.64099E+14,,999,1390/02/01
3.64099E+14,,119,1388/05/10
3.64099E+14,,171,1391/02/25
3.64099E+14,,171,1392/07/22
3.64099E+14,,171,1391/08/20
3.64099E+14,,156,1395/08/29
3.64099E+14,,162,1390/10/25
3.64099E+14,,999,1390/09/01
3.64099E+14,,999,1388/02/10
3.64099E+14,,120,1390/02/20
3.64099E+14,,156,1390/07/25
3.64099E+14,,156,1392/04/22
3.64099E+14,,999,1390/09/01
3.64099E+14,,156,1394/08/10
3.64099E+14,,179,1389/01/03
3.64099E+14,,179,1389/08/25
3.64099E+14,,999,1388/08/15
3.64099E+14,,171,1393/02/02
3.64099E+14,,158,1396/03/02
3.64099E+14,,999,1390/02/01
3.64099E+14,,185,1393/08/19
3.64099E+14,,999,1389/08/01
3.64099E+14,,156,1390/12/01
3.64099E+14,,156,1394/08/27
3.64099E+14,,171,1391/04/31
3.64099E+14,,999,1390/09/19
3.64099E+14,,156,1395/08/30
3.64099E+14,,156,1395/01/05
3.64099E+14,,158,1393/08/28
3.64099E+14,,171,1391/10/01
3.64099E+14,,158,1393/06/24
3.64099E+14,,156,1393/11/27
3.64099E+14,,157,1386/07/03
3.64099E+14,,156,1389/08/25
3.64099E+14,,999,1393/05/01
3.64099E+14,,999,1393/05/01
3.64099E+14,,171,1392/07/22
3.64099E+14,,179,1391/04/31
3.64099E+14,,171,1391/02/25
3.64099E+14,,200,1397/10/08
3.64099E+14,,171,1391/02/25
3.64099E+14,,999,1391/07/01
3.64099E+14,,999,1390/02/01
3.64099E+14,,156,1391/11/28
3.64099E+14,,200,1397/10/08
3.64099E+14,,200,1399/12/10
3.64099E+14,,158,1393/08/28
3.64099E+14,,156,1392/04/22
3.64099E+14,,999,1390/08/17
3.64099E+14,,158,1393/08/28
3.64099E+14,,200,1396/11/01
3.64099E+14,,999,1390/05/01
3.64099E+14,,171,1391/10/01
3.64099E+14,,186,1394/07/17
3.64099E+14,,171,1391/02/25
3.64099E+14,,171,1391/02/25
3.64099E+14,,200,1397/06/01
3.64099E+14,,999,1390/05/25
3.64099E+14,,171,1391/10/16
3.64099E+14,,171,1391/10/01
3.64099E+14,,171,1391/02/25
3.64099E+14,,185,1394/04/03
3.64099E+14,,171,1391/04/31
3.64099E+14,,156,1390/12/01
3.64099E+14,,156,1394/07/05
3.64099E+14,,156,1390/12/01
3.64099E+14,,171,1391/04/31
3.64099E+14,,171,1391/02/25
3.64099E+14,,999,1390/05/01
3.64099E+14,,171,1391/02/25
3.64099E+14,,171,1391/02/25
3.64099E+14,,171,1391/02/25
3.64099E+14,,186,1394/03/01
3.64099E+14,,200,1395/01/16
3.64099E+14,,156,1392/12/28
3.64099E+14,,185,1392/01/05
3.64099E+14,,171,1396/07/01
3.64099E+14,,171,1393/02/02
3.64099E+14,,171,1391/10/16
3.64099E+14,,179,1392/07/10
3.64099E+14,,200,1394/03/04
3.64099E+14,,187,1391/12/12
3.64099E+14,,156,1393/08/28
3.64099E+14,,171,1396/07/01
3.64099E+14,,171,1391/01/15
3.64099E+14,,156,1393/11/27
3.64099E+14,,156,1395/01/05
3.64099E+14,,171,1391/02/25
3.64099E+14,,171,1391/02/25
3.64099E+14,,171,1395/02/22
3.64099E+14,,171,1391/02/25
3.64099E+14,,156,1395/01/05
3.64099E+14,,200,1396/11/01
3.64099E+14,,200,1397/08/20
3.64099E+14,,171,1391/02/25
3.64099E+14,,156,1394/07/05
3.64099E+14,,156,1394/07/05
3.64099E+14,,171,1391/02/25
3.64099E+14,,171,1391/01/15
3.64099E+14,,999,1393/05/01
3.64099E+14,,120,1394/11/27
3.64099E+14,,156,1395/01/05
3.64099E+14,,156,1394/07/05
3.64099E+14,,171,1391/08/20
3.64099E+14,,156,1395/01/05
3.64099E+14,,186,1394/03/01
3.64099E+14,,156,1393/02/01
3.64099E+14,,200,1397/06/01
3.64099E+14,,185,1393/08/19
3.64099E+14,,999,1393/05/01
3.64099E+14,,171,1392/04/16
3.64099E+14,,999,1390/05/01
3.64099E+14,,156,1395/01/05
3.64099E+14,,156,1391/11/28
3.64099E+14,,156,1393/11/27
3.64099E+14,,171,1392/04/16
3.64099E+14,,171,1391/01/15
3.64099E+14,,200,1399/12/10
3.64099E+14,,171,1391/01/15
3.64099E+14,,156,1393/08/28
3.64099E+14,,999,1393/05/01
3.64099E+14,,171,1392/06/24
3.64099E+14,,178,1392/03/22
3.64099E+14,,178,1392/04/16
3.64099E+14,,120,1394/06/22
3.64099E+14,,171,1392/04/16
3.64099E+14,,171,1392/05/20
3.64099E+14,,171,1392/05/20
3.64099E+14,,171,1392/04/16
3.64099E+14,,171,1392/06/24
3.64099E+14,,120,1393/02/02
3.64099E+14,,171,1392/06/24
3.64099E+14,,171,1392/05/20
3.64099E+14,,171,1392/06/24
3.64099E+14,,171,1392/06/24
3.64099E+14,,200,1394/05/01
3.64099E+14,,171,1392/06/24
3.64099E+14,,171,1392/06/24
3.64099E+14,,171,1392/06/24
3.64099E+14,,171,1392/06/24
3.64099E+14,,171,1392/06/24
3.64099E+14,,156,1394/07/05
3.64099E+14,,156,1395/06/22
3.64099E+14,,171,1395/03/18
3.64099E+14,,999,1393/11/01
3.64099E+14,,171,1393/02/02
3.64099E+14,,171,1393/02/01
3.64099E+14,,200,1395/01/16
3.64099E+14,,156,1394/07/05
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1395/01/16
3.64099E+14,,171,1396/07/01
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1395/02/28
3.64099E+14,,186,1394/07/17
3.64099E+14,,171,1397/09/24
3.64099E+14,,999,1393/05/01
3.64099E+14,,156,1395/06/22
3.64099E+14,,200,1397/10/08
3.64099E+14,,200,1397/04/02
3.64099E+14,,171,1396/02/24
3.64099E+14,,200,1397/07/01
3.64099E+14,,156,1396/12/27
3.64099E+14,,156,1395/01/05
3.64099E+14,,200,1395/01/16
3.64099E+14,,200,1397/10/08
3.64099E+14,,156,1395/08/29
3.64099E+14,,171,1396/07/01
3.64099E+14,,200,1397/10/08
3.64099E+14,,171,1396/02/05
3.64099E+14,,200,1395/01/16
3.64099E+14,,171,1397/09/24
3.64099E+14,,156,1395/01/05
3.64099E+14,,200,1397/06/01
3.64099E+14,,999,1397/10/11
3.64099E+14,,171,1395/02/28
3.64099E+14,,171,1396/02/05
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1395/08/01
3.64099E+14,,120,1394/10/01
3.64099E+14,,120,1394/11/03
3.64099E+14,,171,1396/02/02
3.64099E+14,,200,1396/12/01
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1395/03/24
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1396/02/05
3.64099E+14,,171,1396/02/05
3.64099E+14,,171,1396/02/05
3.64099E+14,,171,1395/03/24
3.64099E+14,,200,1396/12/01
3.64099E+14,,200,1396/11/01
3.64099E+14,,171,1396/02/05
3.64099E+14,,171,1397/01/01
3.64099E+14,,171,1396/02/05
3.64099E+14,,171,1396/02/02
3.64099E+14,,171,1396/07/01
3.64099E+14,,200,1396/05/05
3.64099E+14,,171,1395/01/29
3.64099E+14,,171,1397/09/24
3.64099E+14,,156,1395/07/01
3.64099E+14,,171,1396/02/02
3.64099E+14,,200,1396/11/01
3.64099E+14,,200,1397/06/01
3.64099E+14,,171,1396/02/02
3.64099E+14,,200,1396/05/05
3.64099E+14,,117,1397/07/07
3.64099E+14,,200,1396/05/05
3.64099E+14,,120,1394/05/19
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1396/05/05
3.64099E+14,,200,1396/12/01
3.64099E+14,,200,1397/07/01
3.64099E+14,,200,1395/10/26
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1394/02/30
3.64099E+14,,171,1396/02/02
3.64099E+14,,200,1396/05/05
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1396/05/05
3.64099E+14,,171,1394/02/30
3.64099E+14,,200,1397/10/08
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1396/05/05
3.64099E+14,,171,1396/02/02
3.64099E+14,,200,1396/05/05
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1397/07/01
3.64099E+14,,200,1397/10/08
3.64099E+14,,200,1396/05/05
3.64099E+14,,200,1396/05/05
3.64099E+14,,200,1396/05/05
3.64099E+14,,200,1397/07/02
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1396/12/01
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1396/11/01
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1397/10/08
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1397/10/08
3.64099E+14,,200,1397/10/08
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1397/10/08
3.64099E+14,,200,1396/12/01
3.64099E+14,,200,1397/04/02
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1397/10/08
3.64099E+14,,200,1398/02/01
3.64099E+14,,117,1397/07/07
3.64099E+14,,200,1398/02/01
3.64099E+14,,171,1397/09/24
3.64099E+14,,171,1397/09/24
3.64099E+14,,180,1399/06/01
3.64099E+14,,999,1402/02/20
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1397/08/20
3.64099E+14,,189,1398/01/03
3.64099E+14,,999,1403/04/20
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1397/08/20
3.64099E+14,,171,1397/09/24
3.64099E+14,,200,1397/11/06
3.64099E+14,,180,1399/07/09
3.64099E+14,,999,1401/04/10
3.64099E+14,,200,1398/03/04
3.64099E+14,,180,1399/06/01
3.64099E+14,,999,1401/02/10
3.64099E+14,,171,1397/09/24
3.64099E+14,,999,1402/06/05
3.64099E+14,,999,1401/02/10
3.64099E+14,,200,1397/03/19
3.64099E+14,,999,1403/08/17
3.64099E+14,,180,1399/07/06
3.64099E+14,,162,1399/10/19
3.64099E+14,,999,1402/03/12
3.64099E+14,,999,1402/03/24
3.64099E+14,,999,1401/02/10
3.64099E+14,,999,1403/03/15
3.64099E+14,,999,1402/11/28
3.64099E+14,,999,1402/06/05
3.64099E+14,,200,1398/02/01
3.64099E+14,,200,1400/11/05
3.64099E+14,,999,1403/04/13
3.64099E+14,,999,1403/07/17
3.64099E+14,,999,1401/02/10
3.64099E+14,,180,1398/03/01
3.64099E+14,,999,1382/01/01
3.64099E+14,,999,1382/01/01
